	JvRad_Rhipp_504	JvRad_Rhipp_503	JvRad_Rhipp_402	JvRad_Rhipp_401	JvRad_Rhipp_400	JvRad_Rhipp_203	JvRad_Rhipp_202	JvRad_Rhipp_201	JvRad_Rhipp_200
Rpl31-ps12	9.6036560097478	10.577823122982	10.3755402156446	12.4106606990024	7.77687219571045	22.9912571923852	30.7442734007422	28.5302294582602	20.895275864241
Ppm1f	15.7150734704964	26.9253679494086	20.7510804312893	31.3916711798296	24.5585437759278	28.2969319290895	25.8899144427303	35.6627868228252	40.0492787397952
Mapk1	80.3214866269816	68.7558502993828	86.462835130372	88.3347026223113	83.4990488381544	118.493402453062	114.886495339616	83.8075490336393	128.854201162819
Sdf2l1	1.7461192744996	0.480810141953726	2.7668107241719	2.1901165939416	1.22792718879639	10.6113494734086	4.85435895801192	7.13255736456504	1.74127298868675
Crkl	12.2228349214972	11.5394434068894	8.99213485355868	10.950582969708	8.59549032157471	8.84279122784046	8.09059826335321	14.2651147291301	34.825459773735
Aifm3	55.8758167839872	52.4083054729561	42.1938635436215	35.7719043677128	38.065742852688	26.5283736835214	24.2717947900596	41.012204846249	33.0841867850482
Zdhhc8	20.0803716567454	25.0021273815937	31.1266206469339	27.7414768565936	32.7447250345703	15.9170242101128	12.9449572213651	28.5302294582602	24.3778218416145
Arvcf	20.0803716567454	9.61620283907452	4.84191876730083	11.6806218343552	11.0513446991675	7.07423298227237	1.61811965267064	12.4819753879888	5.22381896606025
Comt	19.2073120194956	23.0788868137788	21.4427831123322	18.25097161618	13.5071990767603	30.0654901746576	25.8899144427303	41.012204846249	26.1190948303012
Rps2-ps7	11.3497752842474	8.17377241321334	11.0672428966876	16.7908938868856	9.00479938450684	28.2969319290895	25.8899144427303	16.0482540702713	22.6365488529277
Gm10241	2.6191789117494	2.40405070976863	4.84191876730083	1.4600777292944	3.27447250345703	3.53711649113619	4.85435895801192	7.13255736456504	12.1889109208072
Dvl3	17.461192744996	17.3091651103341	12.4506482587736	16.0608550222384	10.6420356362354	28.2969319290895	17.7993161793771	19.6145327525539	20.895275864241
Ap2m1	73.3370095289832	72.6023314350126	77.4707002768133	77.3841196526033	75.3128675795118	127.336193680903	129.449572213651	92.7232457393456	156.714568981807
Abcf3	18.3342523822458	13.4626839747043	17.9842697071174	13.8707384282968	13.9165081396924	24.7598154379533	22.653675137389	24.9639507759777	15.6714568981807
Vwa5b2	24.4456698429944	26.4445578074549	13.8340536208595	24.8213213980048	17.6002897060816	14.1484659645447	6.47247861068257	23.1808114348364	13.930183909494
Camk2n2	25.3187294802442	36.0607606465294	24.2095938365041	31.3916711798296	25.7864709647241	21.2226989468171	19.4174358320477	19.6145327525539	17.4127298868675
Gm4462	9.6036560097478	5.28891156149098	8.30043217251571	10.950582969708	8.18618125864258	19.454140701249	19.4174358320477	17.8313934114126	26.1190948303012
Eif4g1	78.575367352482	58.6588373183546	66.4034573801257	77.3841196526033	59.7591231880909	84.8907957872685	88.9965808968853	69.5424343045092	95.7700143777712
Fam131a	62.8602938819856	53.8507358988173	87.1545378114149	112.425985155669	81.0431944605616	122.030518944198	127.831452560981	65.9761556222267	151.490750015747
Rps10-ps2	12.2228349214972	10.0970129810282	17.9842697071174	14.600777292944	9.00479938450684	17.6855824556809	21.0355554847183	30.3133687994014	22.6365488529277
Magef1	0	0.961620283907452	0.691702681042976	0.730038864647201	1.22792718879639	1.76855824556809	1.61811965267064	3.56627868228252	3.4825459773735
Gm26980	0	0	0.691702681042976	0	0	1.76855824556809	1.61811965267064	1.78313934114126	3.4825459773735
Gm6493	0.873059637249799	0.961620283907452	0	0	0	3.53711649113619	0	1.78313934114126	3.4825459773735
Sst	9.6036560097478	13.4626839747043	22.8261884744182	28.4715157212408	25.377161901792	31.8340484202257	40.452991316766	24.9639507759777	29.6016408076747
Morf4l1-ps1	3.4922385489992	2.88486085172236	4.84191876730083	2.9201554585888	1.22792718879639	8.84279122784046	8.09059826335321	8.9156967057063	12.1889109208072
Ccdc50	7.8575367352482	15.3859245425192	6.91702681042976	8.76046637576641	8.18618125864258	3.53711649113619	6.47247861068257	3.56627868228252	6.965091954747
Atp13a4	5.2383578234988	4.32729127758353	5.5336214483438	5.8403109171776	5.32101781811768	0	0	1.78313934114126	0
Opa1	17.461192744996	30.7718490850385	19.3676750692033	16.7908938868856	25.7864709647241	12.3799077189766	19.4174358320477	10.6988360468476	19.1540028755542
Atp13a3	6.1114174607486	11.5394434068894	7.60872949147273	11.6806218343552	10.2327265733032	3.53711649113619	6.47247861068257	7.13255736456504	5.22381896606025
Gm49767	0.873059637249799	0	0.691702681042976	0	0	0	6.47247861068257	0	1.74127298868675
Apod	79.4484269897317	39.4264316402055	71.9370788284695	35.7719043677128	36.0191975380274	28.2969319290895	27.5080340954009	51.7110408930966	34.825459773735
Dlg1	19.2073120194956	42.3112924919279	29.743215284848	21.901165939416	21.2840712724707	10.6113494734086	17.7993161793771	26.7470901171189	19.1540028755542
Rnf168	6.1114174607486	5.76972170344471	8.99213485355868	3.650194323236	6.13963594398194	15.9170242101128	11.3268375686945	7.13255736456504	10.4476379321205
Gm20056	1.7461192744996	0.480810141953726	0.691702681042976	1.4600777292944	0.818618125864258	3.53711649113619	0	3.56627868228252	6.965091954747
Tnk2	83.8137251759807	112.028763075218	93.3798619408017	102.935479915255	87.5921394674756	61.8995385948833	64.7247861068257	108.771499809617	67.9096465587832
Lrch3	3.4922385489992	4.32729127758353	3.45851340521488	1.4600777292944	2.45585437759278	0	0	3.56627868228252	0
Heg1	13.095894558747	7.21215212930589	15.2174589829455	8.76046637576641	9.41410844743897	1.76855824556809	3.23623930534128	5.34941802342378	3.4825459773735
Gm34967	0	0.961620283907452	1.38340536208595	2.9201554585888	0.409309062932129	3.53711649113619	4.85435895801192	3.56627868228252	6.965091954747
Itgb5	13.095894558747	16.8283549683804	15.2174589829455	15.3308161575912	18.0095987690137	5.30567473670428	8.09059826335321	10.6988360468476	17.4127298868675
Kalrn	116.116931754223	142.319802018303	135.573725484423	146.737811794087	155.128134851277	120.26196069863	77.6697433281908	82.024409692498	130.595474151506
Gm49594	4.365298186249	6.73134198735216	11.7589455777306	8.76046637576641	3.68378156638916	17.6855824556809	24.2717947900596	8.9156967057063	19.1540028755542
Adcy5	35.7954451272418	52.8891156149098	51.1859983971802	43.0722930141848	45.4333059854663	22.9912571923852	43.6892306221073	33.879647481684	19.1540028755542
Gm5963	2.6191789117494	4.32729127758353	4.84191876730083	4.3802331878832	2.45585437759278	1.76855824556809	9.70871791602385	10.6988360468476	8.70636494343375
Slc49a4	14.8420138332466	13.4626839747043	9.68383753460166	11.6806218343552	10.2327265733032	3.53711649113619	12.9449572213651	5.34941802342378	5.22381896606025
Slc15a2	7.8575367352482	13.4626839747043	11.0672428966876	5.8403109171776	7.36756313277833	3.53711649113619	3.23623930534128	7.13255736456504	6.965091954747
Golgb1	24.4456698429944	24.52131723964	24.2095938365041	20.4410882101216	18.4189078319458	15.9170242101128	9.70871791602385	21.3976720936951	15.6714568981807
Stxbp5l	0.873059637249799	4.32729127758353	1.38340536208595	2.1901165939416	3.27447250345703	14.1484659645447	1.61811965267064	3.56627868228252	5.22381896606025
Gm4600	5.2383578234988	5.28891156149098	4.15021608625785	2.9201554585888	4.50239969225342	10.6113494734086	8.09059826335321	3.56627868228252	13.930183909494
Cox17	11.3497752842474	11.5394434068894	17.2925670260744	15.3308161575912	13.0978900138281	3.53711649113619	6.47247861068257	7.13255736456504	12.1889109208072
Lsamp	36.6685047644916	45.1961533436502	34.5851340521488	51.8327593899512	53.2101781811768	37.13972315693	35.5986323587541	28.5302294582602	26.1190948303012
Zdhhc23	7.8575367352482	8.17377241321334	8.99213485355868	10.950582969708	10.2327265733032	19.454140701249	12.9449572213651	12.4819753879888	15.6714568981807
Atp6v1a	63.7333535192354	56.7355967505397	45.6523769488364	75.1940030586617	63.44290475448	95.502145260677	76.0516236755201	55.2773195753791	90.546195411711
Boc	5.2383578234988	4.80810141953726	4.15021608625785	7.30038864647201	6.54894500691407	0	0	1.78313934114126	3.4825459773735
Tagln3	32.3032065782426	42.7921026338816	29.051512603805	27.0114379919464	31.1074887828418	12.3799077189766	32.3623930534128	21.3976720936951	22.6365488529277
Ahcyl	0.873059637249799	0	0	0	0	0	1.61811965267064	1.78313934114126	5.22381896606025
Nectin3	6.9844770979984	4.32729127758353	2.7668107241719	7.30038864647201	3.27447250345703	0	0	0	1.74127298868675
Gm8824	0.873059637249799	0	0	2.1901165939416	0	1.76855824556809	0	1.78313934114126	5.22381896606025
Gm6767	18.3342523822458	21.6364563879177	22.8261884744182	24.8213213980048	11.8699628250317	53.0567473670428	58.2523074961431	21.3976720936951	33.0841867850482
Alcam	17.461192744996	21.1556462459639	21.4427831123322	18.25097161618	20.8747622095386	5.30567473670428	8.09059826335321	7.13255736456504	3.4825459773735
Nxpe3	3.4922385489992	5.28891156149098	4.84191876730083	5.1102720525304	3.68378156638916	1.76855824556809	0	1.78313934114126	3.4825459773735
Arl6	1.7461192744996	2.40405070976863	1.38340536208595	2.1901165939416	3.27447250345703	0	0	0	0
Gm9816	0.873059637249799	2.40405070976863	1.38340536208595	0.730038864647201	0.818618125864258	3.53711649113619	4.85435895801192	3.56627868228252	1.74127298868675
Cggbp1	6.1114174607486	8.65458255516707	8.30043217251571	8.03042751111921	11.0513446991675	1.76855824556809	11.3268375686945	1.78313934114126	3.4825459773735
Gm16385	6.1114174607486	7.21215212930589	10.3755402156446	16.0608550222384	6.9582540698462	10.6113494734086	19.4174358320477	17.8313934114126	26.1190948303012
Gm9843	13.095894558747	11.5394434068894	16.6008643450314	9.49050524041361	9.8234175103711	21.2226989468171	17.7993161793771	23.1808114348364	33.0841867850482
